Location,Household Type,TimeFrame,DataFormat,Data,Fips
Howard Beach,All Households,2022,Dollars,97752.56317,410
Howard Beach,Families,2022,Dollars,106329.38945,410
Howard Beach,Families with Children,2022,Dollars,97222.02713,410
Howard Beach,Families without Children,2022,Dollars,109624.73463,410
Hunts Point,All Households,2022,Dollars,32861.04932,202
Hunts Point,Families,2022,Dollars,42974.45748,202
Hunts Point,Families with Children,2022,Dollars,32410.45707,202
Hunts Point,Families without Children,2022,Dollars,48315.11773,202
Jackson Heights,All Households,2022,Dollars,80466.01705,403
Jackson Heights,Families,2022,Dollars,78616.92764,403
Jackson Heights,Families with Children,2022,Dollars,71315.04903,403
Jackson Heights,Families without Children,2022,Dollars,82673.29615,403
Jamaica/St. Albans,All Households,2022,Dollars,75164.80957,412
Jamaica/St. Albans,Families,2022,Dollars,87492.76445,412
Jamaica/St. Albans,Families with Children,2022,Dollars,73405.00803,412
Jamaica/St. Albans,Families without Children,2022,Dollars,95910.74138,412
Lower East Side,All Households,2022,Dollars,58541.69306,103
Lower East Side,Families,2022,Dollars,66907.75845,103
Lower East Side,Families with Children,2022,Dollars,91558.47703,103
Lower East Side,Families without Children,2022,Dollars,58509.5079,103
Manhattan,All Households,2022,Dollars,99531.05287,36061
Manhattan,Families,2022,Dollars,138998.36603,36061
Manhattan,Families with Children,2022,Dollars,156599.49615,36061
Manhattan,Families without Children,2022,Dollars,129599.26081,36061
Manhattanville,All Households,2022,Dollars,61745.67392,109
Manhattanville,Families,2022,Dollars,83617.04813,109
Manhattanville,Families with Children,2022,Dollars,60277.61529,109
Manhattanville,Families without Children,2022,Dollars,91678.91183,109
Midtown Business District,All Households,2022,Dollars,148225.12491,105
Midtown Business District,Families,2022,Dollars,259557.74954,105
Midtown Business District,Families with Children,2022,Dollars,259557.74954,105
Midtown Business District,Families without Children,2022,Dollars,235990.94411,105
Morrisania,All Households,2022,Dollars,32309.74866,203
Morrisania,Families,2022,Dollars,44060.4471,203
Morrisania,Families with Children,2022,Dollars,34430.85459,203
Morrisania,Families without Children,2022,Dollars,52737.98178,203
Mott Haven,All Households,2022,Dollars,32861.04932,201
Mott Haven,Families,2022,Dollars,42974.45748,201
Mott Haven,Families with Children,2022,Dollars,32410.45707,201
Mott Haven,Families without Children,2022,Dollars,48315.11773,201
Murray Hill/Stuyvesant,All Households,2022,Dollars,148225.12491,106
Murray Hill/Stuyvesant,Families,2022,Dollars,259557.74954,106
Murray Hill/Stuyvesant,Families with Children,2022,Dollars,259557.74954,106
Murray Hill/Stuyvesant,Families without Children,2022,Dollars,235990.94411,106
New York City,All Households,2022,Dollars,77549.62618,3651000
New York City,Families,2022,Dollars,88600.55692,3651000
New York City,Families with Children,2022,Dollars,80650.82217,3651000
New York City,Families without Children,2022,Dollars,92569.71403,3651000
Park Slope,All Households,2022,Dollars,162417.74266,306
Park Slope,Families,2022,Dollars,192019.78488,306
Park Slope,Families with Children,2022,Dollars,259557.74954,306
Park Slope,Families without Children,2022,Dollars,171484.61397,306
Pelham Parkway,All Households,2022,Dollars,64025.62919,211
Pelham Parkway,Families,2022,Dollars,79312.54241,211
Pelham Parkway,Families with Children,2022,Dollars,66432.24865,211
Pelham Parkway,Families without Children,2022,Dollars,88644.16262,211
Queens,All Households,2022,Dollars,83636.77452,36081
Queens,Families,2022,Dollars,93162.54393,36081
Queens,Families with Children,2022,Dollars,84858.7724,36081
Queens,Families without Children,2022,Dollars,97234.4859,36081
Queens Village,All Households,2022,Dollars,104915.31883,413
Queens Village,Families,2022,Dollars,110891.37645,413
Queens Village,Families with Children,2022,Dollars,117222.50908,413
Queens Village,Families without Children,2022,Dollars,110241.44385,413
Rego Park/Forest Hills,All Households,2022,Dollars,93961.9818,406
Rego Park/Forest Hills,Families,2022,Dollars,113850.3348,406
Rego Park/Forest Hills,Families with Children,2022,Dollars,109246.81855,406
Rego Park/Forest Hills,Families without Children,2022,Dollars,117953.4237,406
Ridgewood/Glendale,All Households,2022,Dollars,89443.60049,405
Ridgewood/Glendale,Families,2022,Dollars,98314.24614,405
Ridgewood/Glendale,Families with Children,2022,Dollars,96774.54957,405
Ridgewood/Glendale,Families without Children,2022,Dollars,100589.01026,405
Riverdale,All Households,2022,Dollars,79186.91646,208
Riverdale,Families,2022,Dollars,95552.55168,208
Riverdale,Families with Children,2022,Dollars,85053.95983,208
Riverdale,Families without Children,2022,Dollars,99590.23204,208
Sheepshead Bay,All Households,2022,Dollars,63370.50543,315
Sheepshead Bay,Families,2022,Dollars,89039.72863,315
Sheepshead Bay,Families with Children,2022,Dollars,92405.67353,315
Sheepshead Bay,Families without Children,2022,Dollars,84950.13673,315
South Beach,All Households,2022,Dollars,95241.08239,502
South Beach,Families,2022,Dollars,112171.51527,502
South Beach,Families with Children,2022,Dollars,122491.53139,502
South Beach,Families without Children,2022,Dollars,106094.74924,502
St. George,All Households,2022,Dollars,84352.11568,501
St. George,Families,2022,Dollars,99939.07765,501
St. George,Families with Children,2022,Dollars,97096.40118,501
St. George,Families without Children,2022,Dollars,100824.68869,501
Staten Island,All Households,2022,Dollars,96725.75271,36085
Staten Island,Families,2022,Dollars,115056.75922,36085
Staten Island,Families with Children,2022,Dollars,122492.56962,36085
Staten Island,Families without Children,2022,Dollars,112358.39685,36085
Sunnyside/Woodside,All Households,2022,Dollars,84270.09543,402
Sunnyside/Woodside,Families,2022,Dollars,93958.8671,402
Sunnyside/Woodside,Families with Children,2022,Dollars,89440.4858,402
Sunnyside/Woodside,Families without Children,2022,Dollars,103659.05932,402
Sunset Park,All Households,2022,Dollars,86382.89551,307
Sunset Park,Families,2022,Dollars,87014.13996,307
Sunset Park,Families with Children,2022,Dollars,87167.79814,307
Sunset Park,Families without Children,2022,Dollars,86985.06949,307
The Rockaways,All Households,2022,Dollars,66737.48856,414
The Rockaways,Families,2022,Dollars,85633.29273,414
The Rockaways,Families with Children,2022,Dollars,71371.11351,414
The Rockaways,Families without Children,2022,Dollars,102525.31107,414
Throgs Neck,All Households,2022,Dollars,63774.37729,210
Throgs Neck,Families,2022,Dollars,71433.40737,210
Throgs Neck,Families with Children,2022,Dollars,55761.31045,210
Throgs Neck,Families without Children,2022,Dollars,80959.17677,210
Tottenville,All Households,2022,Dollars,112519.32266,503
Tottenville,Families,2022,Dollars,132807.39459,503
Tottenville,Families with Children,2022,Dollars,141227.44799,503
Tottenville,Families without Children,2022,Dollars,131781.62237,503
Unionport/Soundview,All Households,2022,Dollars,48697.18674,209
Unionport/Soundview,Families,2022,Dollars,54436.5277,209
Unionport/Soundview,Families with Children,2022,Dollars,51283.42015,209
Unionport/Soundview,Families without Children,2022,Dollars,58860.42998,209
